Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 131.6426,Fitness: 1368.357,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 19,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 237.7232,Fitness: 1262.277,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 21,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 284.9159,Fitness: 1215.084,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 14,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 500.0263,Fitness: 999.9737,Value Changing: Soldiers,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 4,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 500.1529,Fitness: -1000.153,Value Changing: Refineries,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 3,Target Gold Value: 500,Did we win: 1,Time to end: 311.5606,Fitness: 1188.439,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 2,Target Gold Value: 500,Did we win: 1,Time to end: 353.5775,Fitness: 1146.422,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 550,Did we win: 1,Time to end: 306.6849,Fitness: 1193.315,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 600,Did we win: 1,Time to end: 238.0976,Fitness: 1261.902,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 650,Did we win: 1,Time to end: 207.551,Fitness: 1292.449,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 700,Did we win: 1,Time to end: 382.1293,Fitness: 1117.871,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 19,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 328.8912,Fitness: 1171.109,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 18,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 257.1249,Fitness: 1242.875,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 17,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 222.2021,Fitness: 1277.798,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 16,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 242.3865,Fitness: 1257.614,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 16,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 289.3322,Fitness: 1210.668,Value Changing: Soldiers,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 2,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 503.8548,Fitness: -1003.855,Value Changing: Refineries,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 5,Target Gold Value: 500,Did we win: 1,Time to end: 412.9886,Fitness: 1087.011,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 6,Target Gold Value: 500,Did we win: 1,Time to end: 261.5936,Fitness: 1238.406,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 7,Target Gold Value: 500,Did we win: 1,Time to end: 209.553,Fitness: 1290.447,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 8,Target Gold Value: 500,Did we win: 1,Time to end: 281.5611,Fitness: 1218.439,Value Changing: Barracks,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 450,Did we win: 1,Time to end: 224.5799,Fitness: 1275.42,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 400,Did we win: -1,Time to end: 503.51,Fitness: -1003.51,Value Changing: TargetGold,Increasing By Random: 0,
Max Workers Value: 21,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 286.8362,Fitness: 1213.164,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 22,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 201.4404,Fitness: 1298.56,Value Changing: Workers,Increasing By Random: 0,
