Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 237.7751,Fitness: 1262.225,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 19,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 233.7268,Fitness: 1266.273,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 18,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 274.1438,Fitness: 1225.856,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 17,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 232.4665,Fitness: 1267.533,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 16,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 189.9428,Fitness: 1310.057,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 15,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 278.4861,Fitness: 1221.514,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 14,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 255.7895,Fitness: 1244.21,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 13,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 245.5713,Fitness: 1254.429,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 12,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 219.947,Fitness: 1280.053,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 11,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 291.9644,Fitness: 1208.036,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 10,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 500.0869,Fitness: 999.9131,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 9,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 183.7771,Fitness: 1316.223,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 8,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 144.5017,Fitness: 1355.498,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 7,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 267.3857,Fitness: 1232.614,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 6,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 279.5593,Fitness: 1220.441,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 5,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 281.7026,Fitness: 1218.297,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 4,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 236.4983,Fitness: 1263.502,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 3,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 250.1695,Fitness: 1249.83,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 2,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 257.9123,Fitness: 1242.088,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 1,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 173.5843,Fitness: 1326.416,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: 0,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 328.0572,Fitness: 1171.943,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: -1,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 488.7959,Fitness: -988.7959,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: -2,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 221.6591,Fitness: -721.6591,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: -3,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 285.1414,Fitness: 1214.859,Value Changing: Workers,Increasing By Random: 0,
Max Workers Value: -4,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 196.1132,Fitness: 1303.887,Value Changing: Workers,Increasing By Random: 0,
