Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 181.8527,Fitness: 1318.147,Value Changing: Workers,
Max Workers Value: 12,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 291.0687,Fitness: 1208.931,Value Changing: Workers,
Max Workers Value: 20,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 453.2455,Fitness: 1046.755,Value Changing: Workers,
Max Workers Value: 12,Max Soldier Value: 15,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 286.3789,Fitness: 1213.621,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 98,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 250.2072,Fitness: 1249.793,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 90,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 172.7,Fitness: 1327.3,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 13,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 500.065,Fitness: 999.935,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 90,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 268.9066,Fitness: 1231.093,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 276.8282,Fitness: 1223.172,Value Changing: Soldiers,
Max Workers Value: 12,Max Soldier Value: 90,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 500.382,Fitness: -1000.382,Value Changing: Refineries,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 220.2042,Fitness: 1279.796,Value Changing: Refineries,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 2,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 246.5927,Fitness: 1253.407,Value Changing: Refineries,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 218.9304,Fitness: 1281.07,Value Changing: Barracks,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 65,Target Gold Value: 500,Did we win: 1,Time to end: 374.6125,Fitness: 1125.387,Value Changing: Barracks,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: 1,Time to end: 240.7137,Fitness: 1259.286,Value Changing: Barracks,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 3,Target Gold Value: 500,Did we win: 1,Time to end: 269.6835,Fitness: 1230.316,Value Changing: Barracks,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 4,Target Gold Value: 500,Did we win: -1,Time to end: 500.0306,Fitness: -1000.031,Value Changing: TargetGold,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 3,Target Gold Value: 500,Did we win: 1,Time to end: 211.7191,Fitness: 1288.281,Value Changing: TargetGold,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 3,Target Gold Value: 450,Did we win: 1,Time to end: 394.0154,Fitness: 1105.985,Value Changing: TargetGold,
Max Workers Value: 12,Max Soldier Value: 89,Max Refineries Value: 3,Max Barracks Valeu: 3,Target Gold Value: 500,Did we win: 1,Time to end: 283.1161,Fitness: 1216.884,Value Changing: Workers,
